market_id,created_at,actual_delivery_time,store_id,store_primary_category,order_protocol,total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_dashers,total_busy_dashers,total_outstanding_orders,estimated_order_place_duration,estimated_store_to_consumer_driving_duration
5.0,2015-02-12 00:45:47,2015-02-12 01:11:35,257,,5.0,1,2000,1,2000,2000,28.0,11.0,11.0,251,514.0
2.0,2015-02-05 03:10:24,2015-02-05 04:25:29,2701,indian,3.0,2,1095,2,300,795,62.0,62.0,84.0,251,622.0
4.0,2015-02-17 02:07:34,2015-02-17 02:38:16,1078,chinese,3.0,3,2285,3,495,1095,101.0,97.0,143.0,251,193.0
,2015-01-29 01:13:35,2015-01-29 01:59:42,3126,mexican,,3,2240,3,496,899,5.0,3.0,2.0,446,831.0
3.0,2015-01-31 02:20:12,2015-01-31 02:59:27,570,burger,2.0,4,1437,4,299,419,61.0,62.0,65.0,251,704.0
2.0,2015-01-23 00:08:22,2015-01-23 01:03:59,4964,barbecue,3.0,2,1765,2,465,925,20.0,21.0,25.0,251,672.0
2.0,2015-02-01 05:51:26,2015-02-01 06:10:03,777,fast,4.0,13,756,5,0,299,44.0,48.0,62.0,251,471.0
2.0,2015-01-31 03:55:23,2015-01-31 05:16:46,1224,,3.0,1,895,1,895,895,95.0,101.0,169.0,251,666.0
4.0,2015-01-24 17:19:36,2015-01-24 18:20:07,6503,dessert,5.0,4,4165,4,995,1095,2.0,26.0,4.0,251,533.0
2.0,2015-02-02 23:06:40,2015-02-02 23:39:45,2069,american,3.0,3,1973,2,81,1713,38.0,47.0,48.0,251,481.0
2.0,2015-01-29 02:43:17,2015-01-29 03:19:39,4210,mexican,2.0,1,1370,1,1295,1295,103.0,87.0,126.0,251,602.0
2.0,2015-01-27 02:18:31,2015-01-27 03:19:37,3512,mediterranean,2.0,1,1475,1,1000,1000,41.0,48.0,51.0,251,617.0
2.0,2015-02-03 01:21:09,2015-02-03 02:03:51,6854,caribbean,1.0,1,1125,1,1125,1125,60.0,59.0,95.0,446,444.0
2.0,2015-02-06 02:55:56,2015-02-06 03:31:43,4892,barbecue,1.0,3,1390,3,295,695,70.0,48.0,73.0,446,352.0
1.0,2015-01-22 20:25:58,2015-01-22 20:48:38,3383,asian,1.0,3,3600,1,1200,1200,24.0,17.0,18.0,446,236.0
4.0,2015-02-04 00:37:49,2015-02-04 01:36:19,1129,vietnamese,1.0,6,3675,5,350,675,3.0,5.0,6.0,446,599.0
6.0,2015-02-15 03:22:41,2015-02-15 04:34:16,1219,japanese,3.0,3,2640,3,450,1495,,,,251,922.0
5.0,2015-02-12 16:05:43,2015-02-12 16:51:21,5179,american,1.0,2,1390,2,595,795,0.0,0.0,0.0,446,222.0
6.0,2015-01-23 17:26:22,2015-01-23 17:50:10,3316,smoothie,2.0,1,950,1,950,950,,,,251,166.0
5.0,2015-02-16 04:02:31,2015-02-16 04:27:04,6133,mediterranean,2.0,1,1044,1,845,845,24.0,15.0,22.0,251,506.0
2.0,2015-02-14 02:10:46,2015-02-14 03:10:41,6677,seafood,5.0,2,1145,2,50,1095,144.0,92.0,175.0,251,330.0
2.0,2015-01-25 23:52:45,2015-01-26 00:25:55,5829,thai,5.0,7,7581,6,655,1499,48.0,89.0,38.0,251,852.0
2.0,2015-02-01 04:36:57,2015-02-01 05:22:49,6826,pizza,3.0,1,1699,1,899,899,43.0,54.0,82.0,251,716.0
1.0,2015-02-08 04:45:11,2015-02-08 06:04:07,3787,cafe,1.0,5,5075,5,595,1295,11.0,12.0,18.0,446,439.0
3.0,2015-02-17 18:20:29,2015-02-17 19:45:25,6337,pizza,1.0,2,1450,2,350,1100,0.0,0.0,0.0,446,614.0
3.0,2015-02-11 19:28:04,2015-02-11 20:34:07,5470,pizza,3.0,10,11477,9,499,1345,18.0,18.0,20.0,251,139.0
2.0,2015-02-05 21:11:13,2015-02-05 21:35:25,3813,greek,5.0,1,1897,1,1499,1499,52.0,57.0,74.0,251,253.0
2.0,2015-02-16 03:06:50,2015-02-16 04:12:40,1703,mexican,5.0,7,2653,3,279,799,47.0,45.0,95.0,251,724.0
4.0,2015-01-24 01:44:47,2015-01-24 02:35:56,241,japanese,2.0,8,5670,7,195,1490,115.0,70.0,109.0,251,695.0
3.0,2015-02-08 00:53:18,2015-02-08 01:29:28,3978,persian,1.0,2,1797,2,199,1399,16.0,16.0,13.0,446,465.0
5.0,2015-01-30 01:22:24,2015-01-30 02:09:55,1350,italian,1.0,4,5699,4,495,1698,20.0,18.0,18.0,446,976.0
5.0,2015-01-22 22:10:01,2015-01-22 22:41:45,5661,dessert,1.0,4,1040,3,80,475,13.0,10.0,10.0,446,383.0
4.0,2015-01-23 04:02:12,2015-01-23 04:39:30,205,burger,4.0,2,1137,2,309,729,49.0,50.0,61.0,251,282.0
4.0,2015-02-13 03:38:10,2015-02-13 04:25:40,3032,thai,3.0,1,1095,1,995,995,118.0,107.0,155.0,251,824.0
2.0,2015-02-17 03:04:32,2015-02-17 03:44:33,1200,chinese,3.0,1,795,1,695,695,84.0,57.0,72.0,251,790.0
1.0,2015-02-13 16:36:16,2015-02-13 17:42:09,3082,american,1.0,2,1200,2,800,1200,2.0,2.0,2.0,446,547.0
